Deal Type;Announce Date;Target Name;Acquirer Name;Seller Name;Announced Total Value (mil.);Payment Type;TV/EBITDA;Deal Status;Nature of Bid;Target ISIN;Acquirer ISIN;Competing Bid Premium;Premium to 1-Month Avg Px (%);Percent Sought;Percent Owned;Net Debt
M&A;27/12/2004;META Group Inc;Gartner Inc;;142.86;Cash;20.99;Completed;Friendly;US5910021006;US3666511072;0.0000;69.2952;100.000000;0.000000;-7.310000
INV;27/12/2004;Dr. Scheller Cosmetics AG;Kalina;;36.19;Cash;22.22;Completed;Friendly;DE0007201303;RU0007247243;0.0000;13.5943;30.200001;0.000000;18.299999
INV;28/12/2004;Dyckerhoff GmbH;Buzzi Unicem SpA;SanPaolo IMI SpA;570.04;Cash;6.53;Completed;;DE0005591036;IT0001347308;0.0000;;24.000000;67.000000;0.000000
M&A;29/12/2004;Aluminium of Greece S.A.I.C.;Mytilineos SA;Rio Tinto Alcan Inc;107.90;Cash; ;Completed;;GRS081103004;GRS393503008;0.0000;;53.000000;0.000000;0.000000
M&A;29/12/2004;Classic Bancshares Inc;City Holding Co;;74.11;Cash and Stock; ;Completed;Friendly;US18272M1045;US1778351056;0.0000;-6.73013;100.000000;0.000000;0.000000
M&A;29/12/2004;Arelnet Ltd;Airspan Networks Inc;;7.21;Cash and Stock; ;Completed;Friendly;IL0010846801;US00950H3003;0.0000;0;100.000000;0.000000;-6.305000
M&A;30/12/2004;Lion-Dairy & Drinks Pty Ltd;San Miguel Corp;;1512.91;Cash;13.11;Completed;Friendly;AU000000NFD9;PHY751061151;0.0000;10.9435;100.000000;0.000000;40.674999
M&A;30/12/2004;Sinopec Beijing Yanhua Petrochemical Co Ltd;China Petroleum & Chemical Corp;;494.59;Cash;7.06;Completed;Friendly;CN0009076349;CNE1000002Q2;0.0000;19.1489;30.000000;70.000000;0.000000
M&A;30/12/2004;North Atlantic Natural Resources AB;Lundin Mining Corp;Boliden Mineral AB;22.21;Stock;3.59;Completed;;SE0000383531;CA5503721063;0.0000;;36.900002;37.099998;25.610001
M&A;31/12/2004;Maxeda BV;KKR & Co Inc (Fund: KKR Millennium Fund LP),Cinven Ltd (Fund: Third Cinven Fund LP),AlpInvest Partners BV (Fund: Alpinvest Main Fund II - Co-Investments),Change Capital Partners LLP (Fund: Change Capital Fund LP);;3341.55;Cash;7.78;Completed;Friendly;NL0000390979;;0.0000;0.158977;100.000000;0.000000;0.000000
M&A;31/12/2004;Illinois Community Bancorp Inc;Centrue Financial Corp/Old;;3.30;Cash or Stock; ;Completed;Friendly;US4518781020;US15641R1032;0.0000;0;100.000000;0.000000;0.000000
M&A;31/12/2004;Aircastle Ltd;Fortress Investment Group LLC;;N/A;Cash; ;Completed;Friendly;BMG0129K1045;US34958B1061;0.0000;0;100.000000;0.000000;0.000000
M&A;03/01/2005;Derichebourg SA;CFF Recycling;;658.29;Cash;11.92;Completed;Friendly;FR0000053381;FR0000039059;0.0000;-10.7338;32.115002;30.888000;431.298004
M&A;03/01/2005;Interbrew Plc;Anheuser-Busch InBev SA/NV;Alfa Group ZAO,Sun Trade International Ltd;591.53;Cash;3.10;Completed;;GB0049659120;BE0974293251;0.0000;0;98.500000;0.000000;0.000000
M&A;03/01/2005;Mindset Holding AG in Liquidation;Knill Gruppe;Nokia Oyj;6.93;Cash; ;Completed;;CH0009433175;N.A.;0.0000;;80.000000;0.000000;0.000000
M&A;04/01/2005;Education Lending Group Inc;CIT Group Inc/Old;;383.06;Cash; ;Completed;Friendly;US28140A1097;US1255811085;0.0000;29.0956;100.000000;0.000000;0.000000
M&A;04/01/2005;Total Logistics Inc;SUPERVALU Inc;;216.93;Cash;10.74;Completed;Friendly;US89151W1099;US8685363017;0.0000;6.64239;100.000000;0.000000;55.759998
M&A;05/01/2005;Dixie Toga Ltda;Bemis Co Inc;;251.17;Cash; ;Completed;Friendly;BRDXTGACNPR5;US0814371052;0.0000;0;64.400002;0.000000;0.000000
M&A;05/01/2005;Reliance Mining Pty Ltd;Consolidated Minerals Pty Ltd;;47.18;Cash and Stock; ;Completed;Friendly;AU000000REM4;AU000000CSM6;0.0000;18.9822;100.000000;0.000000;-2.780000
INV;06/01/2005;Creo Co Ltd;Z Holdings Corp;;15.57;Cash;6.94;Completed;Friendly;JP3271000006;JP3933800009;0.0000;-8.50946;36.849998;0.000000;0.000000
M&A;07/01/2005;Videocon International Ltd;Videocon Industries Ltd;;699.90;Stock;4.83;Completed;Friendly;INE341A01010;INE703A01011;0.0000;0;100.000000;0.000000;24411.509766
M&A;07/01/2005;Livingston International Technology Services Corp;JPMorgan Chase & Co;;72.56;Cash;58.28;Completed;Friendly;US92239N1090;US46625H1005;0.0000;24.8538;100.000000;0.000000;-54.720001
M&A;07/01/2005;CoSine Communications Inc;Tut Systems Inc;;N/A;Stock; ;Terminated;Friendly;US2212227068;US9011031013;0.0000;0;100.000000;0.000000;-44.459999
M&A;10/01/2005;Western Wireless Corp;Alltel Corp;;5965.14;Cash and Stock;10.23;Completed;Friendly;US95988E2046;US0200391037;0.0000;12.0986;100.000000;0.000000;1857.310059
M&A;10/01/2005;Standard Chartered Bank Korea Ltd;Standard Chartered PLC;;3227.33;Cash; ;Completed;Friendly;KR7000110007;GB0004082847;0.0000;0;100.000000;0.000000;0.000000
M&A;11/01/2005;Doosan Infracore Co Ltd;Doosan Heavy Industries & Construction Co Ltd;;1616.45;Cash;9.31;Completed;Friendly;KR7042670000;KR7034020008;0.0000;0;51.000000;0.000000;551497.187500
M&A;11/01/2005;Cliffs Asia Pacific Iron Ore Holdings Pty Ltd;Cleveland-Cliffs Inc;;387.76;Cash;11.12;Completed;Friendly;AU000000PMM1;US1858991011;0.0000;36.0141;80.400002;0.000000;-43.433998
M&A;11/01/2005;Sunningdale Precision Industries Ltd;Sunningdale Tech Ltd;;151.54;Stock;7.99;Completed;Friendly;SG1O26912004;SG1BJ1000004;0.0000;-0.521852;100.000000;0.000000;-32.675968
M&A;11/01/2005;SVB Financial Services Inc;Fulton Financial Corp;;91.12;Cash or Stock; ;Completed;Friendly;US7848691090;US3602711000;0.0000;-11.4819;100.000000;0.000000;0.000000
M&A;12/01/2005;Verisity Ltd;Cadence Design Systems Inc;;243.27;Cash; ;Completed;Friendly;IL0010861073;US1273871087;0.0000;49.5194;100.000000;0.000000;-56.049999
M&A;12/01/2005;Liska Biometry Inc;Galton Biometrics Inc;;10.62;Stock; ;Terminated;Friendly;US53654P1021;US3641633033;0.0000;-21.1329;100.000000;0.000000;0.000000
INV;13/01/2005;Camerlin Group Bhd;Guoco Group Ltd;;40.45;Cash; ;Completed;Friendly;MYL3751OO004;BMG420981224;0.0000;0;27.070000;0.000000;0.000000
